Index	R	G	B	H	ME
1	0.396	0.0994	0.4946	0.9069	0.99
2	0.0945	0.7934	0.0946	0.0987	0.9825
3	0.4085	0.0986	0.4937	0.9081	1.0008
4	0.1988	0.5922	0.1952	0.4982	0.9862
5	0.3952	0.1021	0.5042	0.0944	1.0015
6	0.0959	0.7964	0.0985	0.1002	0.9908
7	0.0952	0.806	0.0906	0.1086	0.9918
8	0.6998	0.1016	0.1947	0.4992	0.9961
9	0.2009	0.6004	0.1946	0.4998	0.9959
10	0.7036	0.0979	0.1973	0.5098	0.9988
11	0.1077	0.8083	0.1059	0.092	1.0219
12	0.3967	0.1036	0.4927	0.9044	0.993
13	0.1031	0.7999	0.1056	0.1043	1.0086
14	0.2078	0.5967	0.204	0.494	1.0085
15	0.1049	0.8	0.0996	0.1081	1.0045
16	0.7024	0.1072	0.2061	0.5015	1.0157
17	0.0948	0.8077	0.0906	0.0998	0.9931
18	0.1096	0.8043	0.1	0.0994	1.0139
19	0.1036	0.7908	0.0914	0.1004	0.9858
20	0.1064	0.8064	0.1044	0.093	1.0172
21	0.7004	0.1095	0.203	0.506	1.0129
22	0.3986	0.1065	0.4917	0.0927	0.9968
23	0.1	0.8	0.1	0.1	1
24	0.0978	0.8066	0.1061	0.0912	1.0105
25	0.4005	0.0983	0.5031	0.9026	1.0019
26	0.3986	0.0903	0.5097	0.8933	0.9986
27	0.0974	0.794	0.0998	0.0968	0.9912
28	0.2084	0.5911	0.2048	0.4954	1.0043
29	0.401	0.1089	0.4984	0.1097	1.0083
30	0.404	0.1033	0.5008	0.904	1.0081
31	0.6936	0.0926	0.21	0.4934	0.9962
32	0.1012	0.8076	0.1034	0.0938	1.0122
33	0.3992	0.1096	0.4931	0.9071	1.0019
34	0.6975	0.0938	0.1986	0.4996	0.9899
35	0.1018	0.7945	0.0977	0.1017	0.994
36	0.3958	0.1023	0.4953	0.9065	0.9934
37	0.2046	0.5969	0.2017	0.4922	1.0032
38	0.2076	0.6064	0.1952	0.5019	1.0092
39	0.0985	0.7963	0.0932	0.0936	0.988
40	0.3919	0.102	0.4994	0.1039	0.9933
41	0.7028	0.0907	0.1914	0.4964	0.9849
42	0.4031	0.0982	0.5064	0.1044	1.0077
43	0.2006	0.5965	0.1921	0.5022	0.9892
44	0.4	0.1	0.5	0.9	1
45	0.6985	0.0918	0.1953	0.4931	0.9856
46	0.3988	0.1005	0.4991	0.9075	0.9984
47	0.4089	0.1028	0.5092	0.0948	1.0209
48	0.6958	0.1034	0.2039	0.4914	1.0031
49	0.3945	0.1034	0.5069	0.8969	1.0048
50	0.7035	0.0901	0.202	0.4977	0.9956
51	0.19	0.5992	0.1985	0.4992	0.9877
52	0.6964	0.1057	0.1994	0.4907	1.0015
53	0.1044	0.7995	0.0931	0.0968	0.997
54	0.6938	0.1048	0.1949	0.5083	0.9935
55	0.4053	0.0938	0.4957	0.8918	0.9948
56	0.4037	0.1009	0.4985	0.1029	1.0031
57	0.7036	0.1027	0.2089	0.4942	1.0152
58	0.6947	0.0924	0.2021	0.499	0.9892
59	0.4032	0.1054	0.497	0.1032	1.0056
60	0.4068	0.1067	0.4951	0.1023	1.0086
61	0.4008	0.1074	0.4953	0.0964	1.0035
62	0.1088	0.8029	0.0996	0.1028	1.0113
63	0.4029	0.1009	0.5044	0.1004	1.0082
64	0.1944	0.5921	0.1922	0.4913	0.9787
65	0.399	0.0973	0.5053	0.1026	1.0016
66	0.7087	0.1095	0.1938	0.4928	1.012
67	0.6919	0.1005	0.2006	0.5072	0.993
68	0.3979	0.1034	0.5048	0.1004	1.0061
69	0.393	0.1017	0.4952	0.8909	0.9899
